Lon,Lat,Depth
-96.79882,50.387508,0
-96.799593,50.386933,0
-96.800108,50.38655,0
-96.800752,50.386085,0
-96.801395,50.385647,0
-96.801825,50.385182,0
-96.802254,50.384635,0
-96.802726,50.384142,0
-96.803155,50.383622,0
-96.803455,50.383157,0
-96.803713,50.382582,0
-96.80397,50.381926,0
-96.804228,50.381378,0
-96.804399,50.38094,0
-96.804614,50.380448,0
-96.804786,50.379928,0
-96.805,50.37938,0
-96.805043,50.378833,0
-96.805086,50.378231,0
-96.805258,50.377656,0
-96.805301,50.377054,0
-96.805472,50.37637,0
-96.805644,50.37585,0
-96.805859,50.375275,0
-96.805987,50.374755,0
-96.806288,50.374235,0
-96.80676,50.37366,0
-96.807146,50.373058,0
-96.807661,50.372538,0
-96.808133,50.372045,0
-96.808777,50.371498,0
-96.809464,50.371033,0
-96.810064,50.370567,0
-96.810708,50.370294,0
-96.811566,50.369719,0
-96.812081,50.369171,0
-96.812682,50.368597,0
-96.81324,50.368159,0
-96.813712,50.367721,0
-96.814227,50.367118,0
-96.814699,50.366571,0
-96.815042,50.366051,0
-96.815171,50.365531,0
-96.815515,50.364901,0
-96.815858,50.364436,0
-96.816115,50.363888,0
-96.816287,50.363258,0
-96.81633,50.362629,0
-96.816545,50.362081,0
-96.816802,50.361534,0
-96.817231,50.361014,0
-96.817617,50.360302,0
-96.817875,50.359645,0
-96.81839,50.359097,0
-96.819162,50.358549,0
-96.819806,50.358221,0
-96.82045,50.357728,0
-96.820965,50.357317,0
-96.821609,50.356797,0
-96.822424,50.356332,0
-96.823239,50.355948,0
-96.824012,50.355373,0
-96.824656,50.354908,0
-96.825728,50.354305,0
-96.826801,50.353867,0
-96.828046,50.353484,0
-96.829205,50.353155,0
-96.830535,50.352799,0
-96.831779,50.352444,0
-96.832724,50.352115,0
-96.833625,50.351814,0
-96.834354,50.351622,0
-96.83517,50.351321,0
-96.835856,50.35102,0
-96.836672,50.350718,0
-96.837412,50.350794,0
-96.838356,50.350759,0
