Lon,Lat,Depth
-97.17227,49.722912,0
-97.172098,49.722953,0
-97.17198,49.722988,0
-97.171873,49.72303,0
-97.171776,49.723085,0
-97.171637,49.723141,0
-97.171551,49.723182,0
-97.171454,49.723217,0
-97.171358,49.723258,0
-97.171293,49.723307,0
-97.171186,49.723349,0
-97.171068,49.723376,0
-97.170972,49.723425,0
-97.170875,49.72348,0
-97.170768,49.723536,0
-97.17065,49.723605,0
-97.170521,49.723682,0
-97.170392,49.723772,0
-97.170274,49.723862,0
-97.170146,49.723917,0
-97.169995,49.723987,0
-97.169824,49.72407,0
-97.169673,49.724139,0
-97.169513,49.724216,0
-97.169362,49.724299,0
-97.169223,49.724361,0
-97.169094,49.724431,0
-97.168944,49.724493,0
-97.168837,49.724569,0
-97.168676,49.724673,0
-97.168536,49.72475,0
-97.168386,49.724819,0
-97.168247,49.724902,0
-97.168075,49.724999,0
-97.167957,49.725069,0
-97.167796,49.725159,0
-97.167667,49.725284,0
-97.167528,49.725395,0
-97.167388,49.725506,0
-97.167249,49.725617,0
-97.167174,49.725735,0
-97.167072,49.72587,0
-97.167002,49.726005,0
-97.167013,49.726137,0
-97.166991,49.726331,0
-97.167077,49.726491,0
-97.167195,49.726643,0
-97.167335,49.726796,0
-97.167517,49.726948,0
-97.167742,49.727066,0
-97.167978,49.727177,0
-97.168225,49.727302,0
-97.168365,49.727448,0
-97.168536,49.727614,0
-97.168697,49.727774,0
-97.168804,49.727919,0
-97.168912,49.728086,0
-97.168987,49.728238,0
-97.169008,49.728391,0
-97.169008,49.728543,0
-97.168965,49.728675,0
-97.168858,49.728772,0
-97.16874,49.728869,0
-97.168622,49.72896,0
-97.168472,49.729036,0
-97.1683,49.729105,0
-97.168107,49.729181,0
-97.167914,49.729251,0
-97.167689,49.729334,0
-97.167517,49.729403,0
-97.167345,49.729494,0
-97.16712,49.729584,0
-97.166895,49.729681,0
-97.16668,49.729792,0
-97.16653,49.72991,0
-97.166401,49.730111,0
-97.16638,49.730298,0
-97.166423,49.730478,0
-97.166584,49.730659,0
-97.166809,49.730832,0
-97.167045,49.73095,0
-97.167302,49.731061,0
-97.167538,49.731123,0
-97.167764,49.731186,0
-97.168053,49.731227,0
-97.168365,49.731269,0
-97.168708,49.731352,0
-97.168933,49.731456,0
-97.169223,49.731616,0
-97.169427,49.731782,0
-97.169513,49.732004,0
-97.169545,49.732212,0
-97.169523,49.732434,0
-97.169437,49.732677,0
-97.169298,49.732836,0
-97.169137,49.732947,0
-97.168933,49.733009,0
-97.168676,49.733093,0
-97.168365,49.73312,0
-97.168032,49.733141,0
-97.167667,49.733176,0
-97.167388,49.733238,0
-97.167066,49.733322,0
-97.166777,49.733432,0
-97.166541,49.73355,0
-97.166326,49.73371,0
-97.166133,49.733883,0
-97.165908,49.734022,0
-97.165682,49.734168,0
-97.165543,49.734278,0
-97.165339,49.734389,0
-97.165157,49.734493,0
-97.164942,49.734611,0
-97.16477,49.734708,0
-97.164577,49.734799,0
-97.164406,49.734903,0
-97.164137,49.734986,0
-97.163901,49.735069,0
-97.163676,49.735138,0
-97.163472,49.735208,0
-97.163193,49.735312,0
-97.162904,49.735381,0
-97.162614,49.735443,0
-97.16226,49.735513,0
-97.161981,49.735541,0
-97.161734,49.735582,0
-97.161477,49.73561,0
-97.16123,49.735658,0
-97.161026,49.735707,0
-97.160704,49.73579,0
-97.160414,49.735887,0
-97.160168,49.73597,0
-97.159921,49.736074,0
-97.159663,49.736227,0
-97.159524,49.7364,0
-97.159374,49.736567,0
-97.159256,49.736733,0
-97.159148,49.736893,0
-97.158998,49.73708,0
-97.158816,49.737281,0
-97.158601,49.737454,0
-97.158365,49.737635,0
-97.158247,49.737829,0
-97.158065,49.73803,0
-97.157904,49.738217,0
-97.157786,49.738418,0
-97.157657,49.738598,0
-97.157561,49.738841,0
-97.157485,49.739118,0
-97.157453,49.739354,0
-97.15741,49.739638,0
-97.1574,49.739978,0
-97.157464,49.740297,0
-97.157507,49.740609,0
-97.157464,49.740831,0
-97.157357,49.741018,0
-97.157228,49.741164,0
-97.157035,49.741296,0
-97.156767,49.741393,0
-97.15652,49.741441,0
-97.156144,49.741476,0
-97.155887,49.7414,0
-97.155619,49.741303,0
-97.155404,49.741205,0
-97.155168,49.741122,0
-97.1549,49.741025,0
-97.154675,49.740949,0
-97.154385,49.740852,0
-97.154106,49.740803,0
-97.153773,49.740762,0
-97.153312,49.74072,0
-97.152883,49.740665,0
-97.1524,49.740658,0
-97.152078,49.740679,0
-97.151767,49.740706,0
-97.151488,49.740748,0
-97.151252,49.740803,0
-97.150984,49.74088,0
-97.150651,49.740935,0
-97.150372,49.741011,0
-97.150083,49.741136,0
-97.149889,49.741275,0
-97.149761,49.741462,0
-97.149686,49.741684,0
-97.149632,49.741982,0
-97.149611,49.742287,0
-97.149707,49.742599,0
-97.149836,49.742918,0
-97.150083,49.74314,0
-97.150447,49.743383,0
-97.150844,49.743597,0
-97.151102,49.743826,0
-97.151327,49.744027,0
-97.151445,49.744221,0
-97.151563,49.744416,0
-97.151649,49.744672,0
-97.151617,49.744887,0
-97.151488,49.745088,0
-97.151306,49.745268,0
-97.151123,49.745449,0
-97.15093,49.745643,0
-97.150759,49.74583,0
-97.15064,49.746079,0
-97.150587,49.746294,0
-97.150512,49.746523,0
-97.150458,49.746703,0
-97.150383,49.746891,0
-97.150319,49.747119,0
-97.150308,49.747376,0
-97.150297,49.747667,0
-97.150286,49.74793,0
-97.150297,49.748173,0
-97.150297,49.74843,0
-97.150254,49.748665,0
-97.150168,49.748915,0
-97.150061,49.749123,0
-97.150029,49.749338,0
-97.149954,49.749601,0
-97.149922,49.749844,0
-97.149879,49.750079,0
-97.149857,49.750308,0
-97.1499,49.750551,0
-97.149965,49.750773,0
-97.150126,49.750939,0
-97.150501,49.751043,0
-97.150909,49.751098,0
-97.151338,49.751195,0
-97.151735,49.751272,0
-97.152132,49.751376,0
-97.152475,49.7515,0
-97.152765,49.751653,0
-97.153012,49.751833,0
-97.153237,49.752007,0
-97.153451,49.752187,0
-97.153655,49.752416,0
-97.153795,49.752665,0
-97.153881,49.752894,0
-97.153934,49.753157,0
-97.153977,49.753441,0
-97.153999,49.753712,0
-97.154009,49.753954,0
-97.154052,49.754211,0
-97.154074,49.754474,0
-97.153999,49.754724,0
-97.153956,49.754959,0
-97.153848,49.755209,0
-97.153687,49.755424,0
-97.153559,49.755604,0
-97.153409,49.755798,0
-97.153269,49.755992,0
-97.153097,49.756186,0
-97.152883,49.756353,0
-97.152679,49.756526,0
-97.152486,49.756678,0
-97.152303,49.756824,0
-97.15211,49.757004,0
-97.151928,49.757177,0
-97.151778,49.757358,0
-97.151595,49.757566,0
-97.151445,49.757739,0
-97.151295,49.757933,0
-97.15122,49.758148,0
-97.15122,49.758397,0
-97.151295,49.758612,0
-97.151542,49.758758,0
-97.151874,49.758841,0
-97.152218,49.758848,0
-97.152636,49.758827,0
-97.153022,49.758792,0
-97.153462,49.758744,0
-97.153838,49.758716,0
